playerId,season,name,salary,team,position,gamesPlayed,primaryAssists,secondaryAssists,shotsOnGoal,points,goals,hits,shotsBlockedByPlayer
8475151,2023,Kyle Palmieri,5,NYI,C,82,10,14,218,54,30,89,43
8476882,2023,Teuvo Teravainen,5.4,CAR,L,76,16,12,142,53,25,16,26
8480039,2023,Martin Necas,6.5,CAR,C,77,17,12,231,53,24,77,31
8477501,2023,Valeri Nichushkin,6.13,COL,R,54,17,8,158,53,28,74,24
8478975,2023,Mason Marchment,4.5,DAL,L,81,18,13,150,53,22,108,34
8475913,2023,Mark Stone,9.5,VGK,R,56,20,17,117,53,16,34,40
8480015,2023,Owen Tippett,6.2,PHI,R,78,17,8,289,53,28,148,47
8476456,2023,Jonathan Huberdeau,10.5,CGY,C,81,26,14,143,52,12,60,37
8475794,2023,Tyler Seguin,9.85,DAL,C,68,15,12,154,52,25,61,22
8478414,2023,Timo Meier,8.8,NJD,R,69,14,10,207,52,28,111,42
8474590,2023,John Carlson,8,WSH,D,82,16,26,176,52,10,69,194
8480830,2023,Andrei Svechnikov,7.75,CAR,R,59,18,15,144,52,19,142,22
8477346,2023,MacKenzie Weegar,6.25,CGY,D,82,14,18,208,52,20,193,200
8474641,2023,Adam Henrique,3,EDM,C,82,15,12,140,51,24,99,78
8476905,2023,Chandler Stephenson,6.25,VGK,C,75,18,17,97,51,16,43,40
8471724,2023,Kris Letang,6.1,PIT,D,82,18,23,164,51,10,137,136
8483515,2023,Juraj Slafkovsky,4.45,MTL,L,82,19,11,152,50,20,151,71
8480797,2023,Joel Farabee,5,PHI,L,82,19,9,182,50,22,65,50
8478038,2023,Devon Toews,7.25,COL,D,82,16,22,160,50,12,74,110
8474563,2023,Drew Doughty,11,LAK,D,82,14,21,135,50,15,109,142
8482175,2023,JJ Peterka,0.93,BUF,R,82,10,12,226,50,28,27,18
8479425,2023,Filip Hronek,7.25,VAN,D,81,14,29,148,48,5,104,87
8477456,2023,J.T. Compher,5.1,DET,L,77,22,7,108,48,19,51,59
8478396,2023,Noah Hanifin,7.35,VGK,D,80,19,15,164,47,13,63,121
8476479,2023,Phillip Danault,5.5,LAK,C,78,20,10,159,47,17,80,60
8474102,2023,David Perron,4,DET,L,76,17,13,151,47,17,111,27
8478856,2023,Conor Garland,4.95,VAN,R,82,18,9,200,47,20,53,34
8479325,2023,Charlie McAvoy,9.5,BOS,D,74,16,19,133,47,12,158,159
8482684,2023,Luke Hughes,1.85,NJD,D,82,16,22,135,47,9,24,55
8474141,2023,Patrick Kane,4,DET,R,50,18,9,147,47,20,14,13
8476869,2023,Brady Skjei,7,CAR,D,80,16,18,185,47,13,69,90
8481528,2023,Dylan Cozens,7.1,BUF,C,79,22,7,200,47,18,107,27
8482122,2023,Brock Faber,1.01,MIN,D,82,18,21,136,47,8,65,150
8477503,2023,Max Domi,3.75,TOR,C,80,23,15,137,47,9,53,22
8478407,2023,Vince Dunn,7.35,SEA,D,59,19,16,120,46,11,39,64
8477426,2023,Nicholas Paul,3.15,TBL,L,82,13,9,153,46,24,104,42
8483808,2023,Andrei Kuzmenko,5.5,CGY,L,72,13,11,121,46,22,14,17
8475170,2023,Brayden Schenn,6.5,STL,C,82,17,9,170,46,20,169,51
8475784,2023,Jeff Skinner,3,BUF,L,74,13,9,211,46,24,26,13
8478438,2023,Tommy Novak,3.5,NSH,C,71,13,14,113,45,18,5,31
8478519,2023,Anthony Cirelli,6.25,TBL,C,79,13,12,129,45,20,64,75
8477964,2023,Ivan Barbashev,5,VGK,C,82,19,7,122,45,19,180,44
8482667,2023,William Eklund,1.78,SJS,L,80,16,13,128,45,16,39,72
8475760,2023,Nick Bjugstad,2.1,ARI,C,76,12,11,166,45,22,118,48
8477021,2023,Alex Kerfoot,3.5,ARI,C,82,21,11,103,45,13,73,76
8475218,2023,Mattias Ekholm,6.25,EDM,D,79,23,11,177,45,11,136,93
8477451,2023,Ryan Hartman,4,MIN,R,74,12,12,173,45,21,75,65
8474586,2023,Jordan Eberle,4.75,SEA,R,78,18,9,168,44,17,30,23
8475169,2023,Evander Kane,5.13,EDM,L,77,12,8,220,44,24,250,29
8480188,2023,Fabian Zetterlund,1.45,SJS,L,82,17,3,204,44,24,120,71
8477496,2023,Elias Lindholm,7.75,VAN,C,75,14,15,173,44,15,89,61
8483431,2023,Logan Cooley,4.45,ARI,C,82,18,6,151,44,20,50,27
8477511,2023,Anthony Mantha,3.5,VGK,R,74,11,10,113,44,23,55,31
8477948,2023,Travis Sanheim,6.25,PHI,D,81,17,17,146,44,10,94,149
8470613,2023,Brent Burns,8,CAR,D,82,14,19,185,43,10,41,87
8477479,2023,Tyler Bertuzzi,5.5,TOR,L,80,13,9,160,43,21,98,44
8478466,2023,Daniel Sprong,0.98,DET,R,76,14,11,160,43,18,32,15
8480893,2023,Kirill Marchenko,3.85,CBJ,R,78,12,7,193,42,23,55,39
8478474,2023,Lawson Crouse,4.3,ARI,L,81,15,4,172,42,23,175,57
8477447,2023,Shea Theodore,5.2,VGK,D,47,19,18,105,42,5,9,78
8481542,2023,Moritz Seider,1.78,DET,D,82,17,16,135,42,9,211,212
